"Family","Altstig","Aspis","Aueli","Bitzi","Blumenstein","Bodmen","Botsberg","Bruggbach","Buech","Buechel","Burgau","Chruxalpen","Eggliwald","Erlenhof","Gahwil","Gertenau","Glatthalde","Gluris","Gstaltlig","Hemberg","Hengarten","Hoffeld","Landersberg","Laui","Letten","Matt","Muhlau","Muhlruti","Nestel","Neudietfurt","Niederuzwil","Oberriet","Oberrindal","Oberwald","Peterzell","Ricken","Rickenbach","Riederen","Rietbad","Ritzentaa","Rotelbach","Ruteli","Sagenbach","Schonenberg","Schwendi","Seluner","St.Johann","Stalden","Starkenbach","Stocken","Sulzbach","Tannenhof","Tufi","Vier_Winden","Vordernecker","Wattwil","Wildhaus","Winklen","Wissbach","Zellersmuehli","Zuu"
"Chironomidae",41760,5640,27233,2274,4016,3065,6085,12890,1434,48862,992,4359,22969,174025,5087,3606,7600,823,310,636,1622,3105,2799,4845,14423,3828,50457,290,7394,21526,6771,4622,4643,490,12677,2615,7702,245,1446,11806,13512,9281,27135,927,7866,4749,8443,4846,3824,11260,480,16684,741,3311,867,5937,2712,7059,3771,4493,5549
"Chloroperlidae",0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,92,0,599,0,0,2283,0,0,0,0,0,0,0,0,0,0,0,0,1958,0,0,0,446,0,194,0,331,0,0,0,0,659,0,0,0,0,0
"Chrysomelidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cnidaria",0,0,75,0,0,0,0,2298,0,0,0,220,0,30,0,0,79,0,0,0,0,0,0,0,36,3748,0,0,0,140,0,0,0,0,375,0,364,0,0,2342,1352,144,166,0,0,0,22,0,0,2,0,706,0,0,0,0,0,0,722,0,0
"Culicidae",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curculionidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1808,185,322,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,104,0,0
"Dolichopodidae",0,0,0,5,0,0,0,62,0,214,0,0,0,0,91,0,0,0,219,7,0,0,130,786,0,59,0,0,0,0,0,0,0,0,0,37,0,42,0,0,574,0,0,77,5,0,48,0,0,0,149,0,253,0,0,0,0,0,709,48,0
"Dryopidae",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elmidae",298,0,0,0,120,200,0,2472,0,81,0,387,0,44,0,20,410,1215,36,132,0,0,13,0,134,0,169,165,103,1082,38,0,646,471,311,843,0,0,0,917,95,25,1147,0,0,0,498,39,60,36,6,0,88,0,0,385,0,187,162,26,33
"Empididae",0,0,0,25,22,0,0,248,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,60,27,0,0,0,153,0,0,0,0,88,2,0,0,0,0,0,0,0,0,0,0,190,4,152,0,0
"Ephemeridae",0,32,0,23,0,0,0,141,0,0,89,1063,0,0,0,858,0,0,0,0,0,4201,0,0,0,0,0,0,0,9,30,267,3,0,0,115,25,0,0,0,13,3,0,0,0,0,0,0,0,0,0,3450,0,0,0,0,0,14,116,0,0
"Erpobdellidae",0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glossosomatidae",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heptageniidae",5306,0,5398,491,147,8449,0,0,1148,88,587,66,0,0,2,0,155,1256,3566,1059,619,1137,473,20410,1989,262,14146,111128,78912,10877,6,709,18,745,1932,3015,0,2,8141,4827,0,3393,13267,1832,10,335,18835,236,14196,1055,5088,0,63,34,5888,5928,17,4973,1984,74,1496
"Hydraenidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,76,0,0,0,0,0,0,0,0,0,0,79,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrophilidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0
"Hydropsychidae",548,0,107,262,238,179,36,557,18,0,0,1369,0,132,874,0,70,30,148,0,2118,290,7921,0,444,389,362,0,0,1831,12,0,411,0,428,2802,103,0,170,5086,0,238,809,15,0,0,609,330,895,169,0,0,346,0,4,192,0,2578,5795,1046,181
"Hydroptilidae",97,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,16,0,65,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,29,0
"Lepidoptera",0,0,0,0,53,0,0,31,0,150,0,0,0,0,133,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,1905,0,0,0,0,0,0,0,0,14,0,0,486,282,31,0,0
"Lepidostomatidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Leptoceridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,333,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,167,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0
"Leptophlebiidae",0,0,0,5511,45,1421,0,4250,2607,937,146,96,317,0,0,0,47,0,1182,201,0,1409,98,0,0,259,0,2326,69,0,0,7142,0,47,0,1124,0,0,19,71,102,0,0,346,104,421,0,2418,0,0,359,1162,96,0,341,0,623,95,0,0,141
"Leuctridae",1380,0,331,9,16,244,0,0,0,153,0,0,25,0,0,0,113,26,215,509,1085,401,0,345,692,0,604,2806,178,1460,9,105,155,3,209,251,0,0,5223,162,31,151,1009,0,576,1849,23146,0,7499,24,757,0,0,0,632,1463,643,451,138,13,6340
"Limnephilidae",0,0,0,0,0,36,4156,72,142,183,106,376,0,0,0,5401,6,0,38,25,100,6,0,59939,22,75,0,0,1164,729,0,35,7,3,0,11,22,0,0,0,0,0,246,0,208,42,4384,12,9866,0,111,32,3,0,0,103,94,0,79,0,5
"Limoniidae",181,277,0,203,394,942,0,0,48,9,1776,1005,0,0,0,0,0,0,341,0,198,36,384,33,0,5,0,0,0,312,0,383,0,3,61,7,176,0,0,414,518,0,162,0,2,0,178,3480,0,8,5,0,171,205,114,7,72,223,21,0,0
"Nemouridae",148,0,2,4,332,2274,0,0,129,191,156,3,524,6,0,93910,0,105,227,184,3,780,124,2278,0,0,26,33,255,522,0,9,20,520,361,1326,0,0,1152,254,29,4,187,4,383,647,540,1234,399,20,772,2,104,0,1467,12707,626,835,33,0,8732
